no_topic = 4
Topic 0:
내용,71554.51631091007
도로명주소,48053.823278084084
정보,39786.300624135736
조치,31095.178055127428
검토,29630.479489387064
데이터,28537.260317798
연계,26607.788485831512
제공,26411.335349375575
센터,24757.886770957113
신청,24290.619383782745
도움,22767.4715675539
파일,22426.035771841736
원인,22133.77218815929
자료,21910.682994934326
주소,21095.867715097433
표기,20965.07965408643
지역,19089.989560694718
사업단,18911.653201301287
승인,18276.663402210343
시스템,18052.802447501705
구역,17173.985813635543
변경,16846.92405667453
지도,16408.04375646617
전환,16261.867903985218
접속,16028.968563140446
오류,14454.855244013097
통화,12987.801522196807
담당자,12342.289112252294
코드,12042.425005801882
정상,11919.0511907732
카이스,11864.730246768253
서비스,11186.971407810277
행정,11178.876839865377
전체,10913.640185600781
유선,10320.591999932225
부분,10272.238553373705
전자,9494.699371291108
발생,8884.258794268553
화면,8556.829661555266
대상,7958.08001808265
기능,7707.253083108723
국가,7556.159824940978
첨부,7438.276408278584
처리,7179.592850211361
영문,7136.459013283023
반영,7049.271584163722
설정,7035.902416224152
개선,7005.652951239674
광장,6937.202025305516
작업,6878.156856320867
서버,6823.099155619918
추출,6732.229702310754
설치,6567.593935162509
운영,6540.341357734189
삭제,6334.234317397807
구축,6199.308897643826
적용,5924.949100724883
문제,5797.248174719986
관리,5734.219896767995
이용,5647.80778249535
연결,5513.560916305132
홈페이지,5490.9942939401335
프로그램,5477.6471512880835
출력,5425.101077163664
참고,5360.014288554762
변동,5356.597279249121
기관,5309.492127284682
필요,5298.622105685276
개발,5105.194724191139
동일,5076.651568207896
활용,4982.141432353822
업데이트,4941.299965230942
기존,4901.677932303377
오픈,4828.275923643942
기준,4774.072004420825
시도,4663.943219764823
행정동,4628.630076238507
항목,4560.5306579475255
검색,4557.3226465300495
번호,4527.291803259231
상담원,4489.122121746586
방식,4442.488776176046
메뉴,4262.015952221497
전화,4229.435071910732
원단,4220.45132776198
입력,4167.781414105819
사용자,4167.480180026619
통합,4137.80313510368
등록,4037.6536256563627
작성,3995.842143292036
다운로드,3934.013993269612
예정,3863.913865754555
지원,3854.5772189608024
수정,3792.723930846208
경계,3734.645741527693
발급,3641.73244811105
자리,3630.4487546838086
공간,3582.092251454825
실행,3552.9404764942306
표시,3507.842596744405
Topic 1:
주소,257496.98418498418
도로명주소,146106.240779874
지번,106929.94351268698
검색,91337.11368510479
건물,64666.67656828464
도로명,51537.5172107461
부여,43954.92511026008
입력,42472.568781727074
조회,39671.70943279381
사이트,37984.45305275589
번호,32464.50585485931
도움,21290.905842253873
내용,19556.09143913123
번지,18807.0619925169
반영,14963.098947318302
우편번호,14598.640111916597
센터,12720.831879510846
시스템,12167.321071493558
홈페이지,12106.497012435977
토지,11919.65421709432
지자체,11254.841621775584
고시,10852.882762589797
데이터,9466.876899605551
업데이트,9102.567183612136
민원,8808.863178594851
등록,8242.436332303309
매칭,8237.552600577726
기관,8106.420732446211
제공,7932.402604344306
자체,7472.545789755684
부분,7399.6728837414485
주소지,7326.26569479589
정보,7200.882426237426
우편,7102.781724615561
때문,6969.109254338084
강원도,6663.312204995395
경상북도,6600.866622989018
이용,6555.801384692334
선택,6500.473209666239
경상남도,6317.527161251713
정상,5676.359272813763
창원시,5558.006274611319
대표,5530.8209409109695
경북,4963.627743876311
신청,4841.079077519874
전산,4676.975664036648
네이버,4437.115779158273
주민,4354.370506175631
관할지,4245.127912704122
경남,4197.780393547905
전라남도,4074.854708666448
시군,3952.4221733593513
생활,3757.7931204125157
신축,3579.0937291197133
담당자,3546.940040400345
신고,3524.140769969735
사서함,3459.729899129072
담당,3422.8715766071696
익일,3381.411793357766
개념,3332.8645086926185
시도,3310.8159510307314
회사,3282.7267142288847
연락처,3235.296847356484
고객,3191.411046506026
자리,3129.242063054407
시청,3107.150915806072
전화,3017.911287252149
충청남도,3016.9005199981966
폐지,2988.2559307805404
인터넷,2983.6908121128554
발급,2951.1662678603407
우체국,2900.0121973975592
농협,2885.6664602105743
준공,2853.7996602267544
분할,2848.7423571485706
위치,2830.600212687335
이력,2795.244129035766
전입,2738.941123897008
전남,2682.7200600739375
통화,2609.425252983201
군청,2601.6894492526226
합병,2597.038701823257
건물번호,2590.094050933176
일변,2550.6217819012404
포털,2519.527350880871
부서,2437.7974179675207
민원인,2433.089800692644
지적,2377.7998959633587
새우편번호,2330.3065746851576
우편물,2318.637016409867
하심,2274.0027610012417
마포구,2273.3097236116014
중앙,2262.486902410863
충남,2173.923248320844
관할,2164.6504673568684
배송,2135.290518981718
경주시,2128.672473568264
세종,2101.388930210132
울주군,2086.7979896475463
기재,2082.290105801218
Topic 2:
건물,127229.14173030115
도로,66586.54390379098
작업,52482.732716323415
번호,47734.783747767084
정비,41337.91025224118
부여,41217.475407519996
변경,37765.14633789049
구간,31825.34978547984
관리,29693.608186922625
고시,26068.917618053707
내용,25735.473851780698
입력,24774.7003914009
번호판,23703.542703503444
삭제,23615.143442498855
생성,22829.546909008208
선택,22724.845593110327
등록,22393.760293394895
자료,20035.97734652756
접수,19525.285975745115
지점,18040.0940149784
저장,16783.461374159273
수정,15961.067197476155
통계,15863.841926350402
폐지,15192.577684965365
정보,13784.869372887651
도로명,13646.528183722168
현황,13483.69580638454
위치,13001.381310263463
신청,12673.7731215508
명판,12417.637473745584
시설물,12028.183158579812
시설,11607.538453668076
교차로,11423.144491927507
설치,11321.103400029844
편집,10694.913951880937
카이스,10447.17275391979
클릭,10193.571848991427
처리,9767.454086846377
업무,9233.775163607372
도로명주소,8793.523794473822
일련번호,8717.71224260812
